Rank;region;Density;nome_drag;image_url;nome_reale;age_partecipazione_programma
1;Piemonte;1;Elecktra Bionic;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtZTJhODYwNTItMzg4Ni00Mzg5LWIwMDMtNzE2ZjQyODY2OTcyLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjoxOTIwLCJoZWlnaHQiOjEwODB9LCJwbmciOnsiYWRhcHRpdmVGaWx0ZXJpbmciOnRydWUsInF1YWxpdHkiOjc1LCJwYWxldHRlIjp0cnVlLCJjb2xvdXJzIjo4fX19;Mattia Di Renzo;27
2;Sardegna;1;Ava Hangar;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtYzgxMjRmZjEtNDM3MS00MjllLTg3MWItNDNiNWVhYjI5ODlmLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjoxOTIwLCJoZWlnaHQiOjEwODB9LCJwbmciOnsiYWRhcHRpdmVGaWx0ZXJpbmciOnRydWUsInF1YWxpdHkiOjc1LCJwYWxldHRlIjp0cnVlLCJjb2xvdXJzIjo4fX19;Riccardo Massidda;36
3;Sicilia;1;Le Riche;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtMzFiYWIzNTUtMDRhNS00ODA4LTljMmQtNzU5Yjk3NjNlYTU5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjo4MTIsImhlaWdodCI6NDU3fSwicG5nIjp7ImFkYXB0aXZlRmlsdGVyaW5nIjp0cnVlLCJxdWFsaXR5Ijo3NSwicGFsZXR0ZSI6dHJ1ZSwiY29sb3VycyI6OH19fQ==;Alberto Riccobono;35
4;Toscana;1;Ivana Vamp;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtOTJiOTVkOTAtYWYzYy00ZGI2LWFhZDQtNWIwN2YwYzE4OWY1LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjo4MTIsImhlaWdodCI6NDU3fSwicG5nIjp7ImFkYXB0aXZlRmlsdGVyaW5nIjp0cnVlLCJxdWFsaXR5Ijo3NSwicGFsZXR0ZSI6dHJ1ZSwiY29sb3VycyI6OH19fQ==;Daniele Alì;32
5;Puglia;1;Farida Kant;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtMWQ5MTBjNTMtNjAzNC00MjNkLWJlNzEtZjIxNjM3ZmRkM2E5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjo4MTIsImhlaWdodCI6NDU3fSwicG5nIjp7ImFkYXB0aXZlRmlsdGVyaW5nIjp0cnVlLCJxdWFsaXR5Ijo3NSwicGFsZXR0ZSI6dHJ1ZSwiY29sb3VycyI6OH19fQ==;Riccardo Occhilupo;33
6;Campania;1;Divinity;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtNTJmMWIzYmItZWZiNy00NTlmLTk2NzctZGYzNWViZGQyNGU5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjoxOTIwLCJoZWlnaHQiOjEwODB9LCJwbmciOnsiYWRhcHRpdmVGaWx0ZXJpbmciOnRydWUsInF1YWxpdHkiOjc1LCJwYWxldHRlIjp0cnVlLCJjb2xvdXJzIjo4fX19;Maurizio Borgato;27
7;Molise;0;;;;
8;Calabria;0;;;;
9;Abruzzo;0;;;;
10;Valle d'Aosta;0;;;;
11;Trentino Alto Adige;0;;;;
12;Veneto;0;;;;
13;Friuli-Venezia Giulia;0;;;;
14;Lazio;0;;;;
15;Umbria;0;;;;
16;Liguria;0;;;;
17;Marche;0;;;;
18;Lombardia;1;Enorma Jean;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtM2Y5Y2E3ZTQtNDE0YS00ZjdmLTllZTItMTc5ZmFhODE1MDI3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjoxOTIwLCJoZWlnaHQiOjEwODB9LCJwbmciOnsiYWRhcHRpdmVGaWx0ZXJpbmciOnRydWUsInF1YWxpdHkiOjc1LCJwYWxldHRlIjp0cnVlLCJjb2xvdXJzIjo4fX19;Davide Gatto;46
19;Emilia-Romagna;1;Luquisha Lubamba;https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLWl0Iiwia2V5IjoicmVhbHRpbWUtaW1hZ2UtZjM0NTYzNGUtNDIzZS00YzA1LWFlYjctNGMzZjM1ZTE1ZGY3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJjb3ZlciIsIndpZHRoIjo4MTIsImhlaWdodCI6NDU3fSwicG5nIjp7ImFkYXB0aXZlRmlsdGVyaW5nIjp0cnVlLCJxdWFsaXR5Ijo3NSwicGFsZXR0ZSI6dHJ1ZSwiY29sb3VycyI6OH19fQ==;Luca Marchi;33
20;Basilicata;0;;;;
